no,sources,doi,year,journal,title,abstract
1176,scopus,10.3390/f16060937,2025,Forests,The Audiovisual Assessment of Monocultural Vegetation Based on Facial Expressions,"Plant vegetation is nature’s symphony, offering sensory experiences that influence ecological systems, human well-being, and emotional states and significantly impact human societal progress. This study investigated the emotional and perceptual impacts of specific monocultural vegetation (palm and rubber) in Nigeria, through audiovisual interactions using facial expression analysis, soundscape, and visual perception assessments. The findings reveal three key outcomes: (1) Facial expressions varied significantly by vegetation type and time of day, with higher “happy” valence values recorded for palm vegetation in the morning (mean = 0.39), and for rubber vegetation in the afternoon (mean = 0.37). (2) Gender differences in emotional response were observed, as male participants exhibited higher positive expressions (mean = 0.40) compared to females (mean = 0.33). (3) Perceptual ratings indicated that palm vegetation was perceived as more visually beautiful (mean = 4.05), whereas rubber vegetation was rated as having a more pleasant soundscape (mean = 4.10). However, facial expressions showed weak correlations with soundscape and visual perceptions, suggesting that other cognitive or sensory factors may be more influential. This study addresses a critical gap in soundscape research for monocultural vegetation and offers valuable insights for urban planners, environmental psychologists, and restorative landscape designs. © 2025 by the authors."
1177,scopus+wos,10.3390/acoustics7040064,2025,ACOUSTICS,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaïa, Algeria","This study explores the influence of the urban soundscape on pedestrian perception and walking experience in the historic and lower parts of Béjaïa, Algeria. More precisely, the analysis investigates how variations in soundscape configuration relate to perceived comfort, safety, and walking pleasantness across five morphologically distinct urban zones. A mixed-method approach combining quantitative tools (LAeq acoustic measurements) and qualitative methods (soundwalks, sound diaries, and mental maps) was applied in accordance with ISO 12913. The study involved 50 participants for the sound diaries and 58 for the soundwalks. Results show that natural and social sounds enhance perceived comfort and safety, while mechanical noise is associated with discomfort and avoidance behaviors. In the morning, moderate to strong correlations were observed between sound comfort and visual perception (ρ = 0.58, p = 0.001, 95% CI [0.27; 0.80]), as well as between sound comfort and walking pleasantness (ρ = 0.40, p = 0.033, 95% CI [0.05; 0.67]). The study highlights the need to integrate soundscape considerations into urban planning and heritage conservation strategies. © 2025 by the authors."
1178,wos,10.1016/j.apacoust.2024.110378,2025,APPLIED ACOUSTICS,The effects of the interaction between sewage odour and sounds on crowd behaviours in urban waterfront park,"Sewage odour is a common pollution odour source produced by urban water bodies and negatively impacts people's behaviour. This study aimed to explore whether sound could change this negative effect. Therefore, a behaviour-observation experiment was conducted in a typical urban waterfront park using the sewage odour as the source of the pollution smell and playing typical sound sources in urban environments (music and fan sounds) with and without odour. The results showed that for crowd paths, music could significantly attract a crowd, fan sound or sewage odour could keep the crowd away. Furthermore, when there was sewage odour, the effects of the trends of approaching or receding from the sound sources caused by the music and fan sounds, respectively, have been strengthened. Sound and odour had relatively independent impacts on the crowd speed and duration time, reflected in the fact that music significantly reduced the crowd speed whereas fan sound and sewage odour significantly improved it. Music significantly increased the crowd duration time, while fan sound and sewage odour significantly reduced it. On this basis, the independent effects of sound and odour were superimposed, and the positive effect of music was stronger than the negative effect of sewage odour."
1179,pubmed+scopus+wos,10.1038/s41598-025-19918-3,2025,SCIENTIFIC REPORTS,The impact of spatial distribution of noise pollution from music recreation facilities and residents' perceptions in Chongqing municipality,"With the rapid development of the night economy, the effects of noise pollution and the spatial differentiation characteristics of music leisure and entertainment facilities have become important issues in urban governance. Taking Chongqing city as an example, this study utilized AutoNavi POI data, noise complaint records, and field monitoring data to reveal the spatial distribution patterns and residents’ perceptions of noise pollution from music facilities. The study found that: (1) Music leisure and entertainment facilities in Chongqing exhibit a “multi-core” decentralized pattern, differing from the “core solo diffusion” pattern observed in lowland cities. Due to topographic segmentation, Chongqing presents a unique “valley agglomeration-platform jumping” differentiation. The core areas (Guanyin Bridge, Jiefangbei, etc.) overlap with active night economy zones, while secondary nodes (such as university towns) show local agglomerations due to terrain constraints. (2) The distribution of music leisure and entertainment facilities is significantly correlated with noise complaint locations. The Pearson correlation coefficient peaks at a 250 m grid scale (r = 0.75), and the number of complaints increases nonlinearly when facility density exceeds 140 n/km², revealing the critical threshold effect of noise-carrying capacity in mountainous cities. (3) The innovative integration of citizen complaint data to construct a noise perception map verifies the feasibility of using public participation data for identifying noise hotspots. However, this approach is limited by the subjectivity of residents’ complaint behaviour and the spatial coverage bias. The results of this study provide guidance for urban acoustic environment zoning control strategies and offer insights for mountainous cities to balance commercial vitality with acoustic environment governance. © The Author(s) 2025."
1180,pubmed+scopus+wos,10.1371/journal.pone.0326201,2025,PLOS ONE,The influences of urbanization on breeding behavior of American bullfrog (Aquarana catesbeiana) in South Korea,"Urbanized areas often exhibit high levels of anthropogenic noise, which can mask or interfere with animal communication signals, especially those that use sound to communicate, making it challenging for individuals to detect and interpret acoustic cues. While calling is crucial for anuran breeding and communication, the coping mechanisms of city dwelling and cosmopolitan species in urbanized environments remain understudied. Given that invasive species have higher environmental adaptability than native species (because of habitat specificity and environmental sensitivity), we studied the calling patterns of the invasive American bullfrog (Aquarana catesbeiana) in different levels of urbanized areas in South Korea. In our study, we found an early onset of calling activities in urbanized A. catesbeiana populations, which suggests a change induced by factors related to urbanization on breeding phenology. Additionally, urban populations show more intense diurnal calling activities but shorter breeding periods than non-urban populations. The results indicate water temperature and urban noise as the leading factors influencing calling activities in A. catesbeiana. Urbanization induced changes in breeding and calling activities might have facilitated A. catesbeiana to invade and establish populations outside their natural ecological niches. Thus, this study sheds light on the effect of urbanization on frog breeding activities and how an invasive species copes with modified environments in new areas. Copyright: © 2025 Lee et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
1181,wos,10.1016/j.landurbplan.2025.105339,2025,LANDSCAPE AND URBAN PLANNING,The role of greenness and road traffic noise for psychological restoration in everyday environments. A participatory mapping approach,"Greenness and noise are important environmental determinants of human health. The rapid urbanization and population growth have intensified the densification of urban environments, escalating traffic noise and the depletion of green spaces. Our study aims to explore the role of greenness as a facilitator and noise exposure as an impediment to psychological restoration in people's daily environments, examining the interplay between environmental factors, individual perceptions, and personal traits. We employ a conceptual model where the effects of road traffic noise and greenness on restoration are mediated by perceived landscape factors and moderated by personal traits. We collected data through an online participatory survey of about 1500 Swiss respondents. Respondents were asked to indicate the level of resto- ration they obtained from looking out of their window at home and from their last restorative outdoor activity. Our analysis combines biophysical and acoustical georeferenced data with perceived survey data and uses multiple mediation analysis technics, i.e., structural equation modelling. Results indicate that greenness and traffic noise exposure are only marginally linked to psychological resto- ration outcomes. However, they are strongly associated with perceived landscape aspects, such as the feeling of being in nature and noise annoyance, which in turn are linked to these outcomes. Personal traits, including connectedness with nature and stress levels, also play a critical role in shaping restoration outcomes. Our study highlights the complex dynamics between environmental factors, personal perceptions, and restoration outcomes, emphasizing the pivotal role of perceived feeling of being in nature and personal traits in psychological restoration."
1182,pubmed+scopus+wos,10.1183/23120541.00132-2025,2025,ERJ OPEN RESEARCH,The role of neighbourhood-level sociodemographic and socioeconomic characteristics on the physical activity of people with COPD,"Background Physical activity is crucial in slowing COPD progression and reducing mortality, yet the influence of the neighbourhood’s sociodemographic and socioeconomic environment on it remains unexplored. Our aim is to assess the relationship between these neighbourhood characteristics and physical activity in people with COPD. Methods We analysed cross-sectional data from 407 COPD participants from primary care and hospitals of five Catalan municipalities. We obtained neighbourhood percentages of sociodemographic (older adults and non-EU15 immigrants) and socioeconomic (illiteracy, unemployment and households in poor-conditioned buildings) characteristics from the Spanish Urban Vulnerability Atlas. Over 1 week, we tracked steps per day, time spent in physical activity of any intensity, moderate-to-vigorous physical activity (MVPA) and sedentary time using an activity monitor Results After adjusting for age, sex, marital status, social class, road traffic noise levels and PM2.5 in multivariable linear regression models, each 10% increase in the neighbourhood percentage of older adults was associated with 922 (95% CI: 84–1759) more steps per day and 11 (1 to 20) more minutes per day in MVPA. Each 10% increase in the neighbourhood percentage of non-EU15 immigrants was associated with fewer steps per day (−332; 95% CI: −647 to −16), fewer minutes per day in physical activity of any intensity (−5; 95% CI: −11 to 0) and fewer minutes per day in MVPA (−5; 95% CI: −7 to 0). No associations were found between neighbourhood socioeconomic characteristics and physical activity. Conclusion A neighbourhood’s percentages of older adults and non-EU15 immigrants are associated with physical activity of COPD patients. © The authors 2025."
1183,scopus,10.1038/s41467-025-63182-y,2025,Nature Communications,The zebra finch auditory cortex reconstructs occluded syllables in conspecific song,"In the perceptual illusion known as phonemic (or auditory) restoration, when part of a word is deleted and replaced by noise, listeners still hear the complete word. The neural mechanisms that create this illusion by generating predictions of missing information remain poorly understood. Zebra finches (Taeniopygia castanotis) use song, a sequence of complex vocal elements, to communicate in noisy social environments. Here, we found that in anesthetized finches, populations of single units in the homolog of auditory cortex respond to songs in which the original audio of an element is completely replaced by noise as if the missing element were present alongside the noise, despite only noise being physically present. This occurs even for songs birds have never heard, but not if the context is masked or lacks species-typical syntax. These results suggest that local neural dynamics instantiate a general model of conspecific song that biases auditory responses to restore missing information. © The Author(s) 2025."
1184,scopus,10.71637/tnhj.v25i2.1078,2025,Nigerian Health Journal,"Tinnitus in Later Life: The Role of Socio-Cultural Determinants, Social Support, Health Conditions, and Lifestyle Behaviours among the Rural Elderly in North-Central Nigeria","Background: Tinnitus, defined as the perception of sound without external stimuli, significantly affects the life quality among elderly populations worldwide. This study investigated the prevalence and associations of tinnitus with socio-cultural determinants, social support, health conditions, and lifestyle behaviors among rural elderly residents in Asa Local Government Area of Kwara state, North-Central Nigeria. Methods: This was a cross-sectional study conducted among 427 elderly residents (≥65 years) using structured questionnaires to collect data on tinnitus symptoms, socio-demographic characteristics, cultural beliefs, social support (measured by the Oslo Social Support Scale), health conditions, and lifestyle behaviors. Chi-square analysis was employed to determine associations between variables. Results: Tinnitus prevalence was found to be 41.7% among participants. Observed was significant associations between tinnitus and educational status (χ2=12.36, p=0.006), age (χ2=9.84, p=0.007), cultural beliefs about loss of hearing (χ2=18.73, p < 0.001), social support levels (χ2=15.28, p < 0.001), hypertension (χ2=11.42, p < 0.001), diabetes (χ2=7.65, p=0.006), and exposure to environmental noise (χ2=14.32, p < 0.001). Low social support was more common among tinnitus sufferers (52.8%) compared to non-sufferers (31.5%). Conclusion: There is significant association between tinnitus among rural elderly Nigerians and socio-cultural factors, lack of social support, chronic health conditions, and lifestyle behaviors. Culturally sensitive interventions that address modifiable risk factors and strengthen social support systems are recommended to reduce tinnitus burden in this population. © 2025, Nigerian Medical Association. All rights reserved."
1185,scopus+wos,10.1016/j.jreng.2025.05.001,2025,JOURNAL OF ROAD ENGINEERING,Tire/road noise analysis of innovative microsurfacing mixtures based on SPERoN® model and noise-related texture indicators,"Road traffic noise is a significant environmental issue in urban areas with major health and economic implications for communities. Thus, a comprehensive understanding of tire/road noise mechanism is crucial for road pavement engineering. This study evaluates the noise behaviour of six innovative microsurfacing mixtures incorporating natural and artificial aggregates (geopolymers and crumb rubber) with varying particle size distributions and binders. A 2D laser analysis aims at collecting surface texture indicators, while noise-related indicators were derived according to ISO 10844 standards. Noise levels were predicted using the SPERoN® model (statistical physical explanation of rolling noise), analysing the vibro-dynamic and the aerodynamic contributions separately. Correlations between tire/road noise levels predicted by the model and surface texture indicators elucidate the key factors influencing noise generation mechanism. The findings indicate that lower nominal maximum aggregate size (NMAS) and uniformly shaped artificial aggregates substantially mitigate rolling noise. Moreover, profiles with negative skewness and positive kurtosis exhibit reduced noise generation. The study highlights the limitations of traditional indicators like the estimated noise difference due to texture (ENDT) and highlights the g-factor from the Abbott curve as a more reliable predictor of pavement noise properties. These findings provide valuable insights for designing low-noise pavements with enhanced performance, offering new perspectives on the noise behaviour and acoustic properties of microsurfacing. © 2025 The Authors"
1186,wos,10.1007/s12237-025-01554-9,2025,ESTUARIES AND COASTS,Underwater Soundscapes of Management Zones and Potential Impacts on Marine Communities,"Noise pollution is a pervasive global pollutant impacting ecosystems. Increased ambient noise can affect marine faunas' ability to communicate, feed, navigate habitats, and defend territories. There is a paucity of data describing inshore soundscapes and how sounds affect marine life in these areas. Marine protected areas (MPAs) are implemented to minimise impacts on marine life, yet they rarely consider the impact of sound from anthropogenic activities. MPAs have various management zones and rules, including 'open' zones, which usually allow most forms of fishing, commercial, and recreational activities, and 'no-take' zones, which prohibit the removal of any marine species from that area. This research compared sound levels among various open and no-take zones within the Port Stephens Great Lakes Marine Park, New South Wales (NSW), Australia, between April and May 2023 to determine if recordings from open zones displayed significantly more anthropogenic noise. Overall, median broadband sound levels showed a difference of less than 3 dB between management zones within a site. Boating was the main contributor to the differences in sound levels between these two zones. Despite these minor differences in sound levels between zones, no-take areas remain susceptible to noise pollution due to proximity to vessel channels and anthropogenic activities. This research is an important initial step for underwater soundscape assessments in NSW estuaries, establishing baseline sound levels for future monitoring of these systems."
1187,scopus+wos,10.1177/13567667251401237,2025,JOURNAL OF VACATION MARKETING,Unveiling the impact of short video narratives in China's national parks on user engagement behaviors,"Compared to traditional media, national parks increasingly rely on social media for information dissemination and knowledge popularization. Little research has explored the impact and mechanism of short video narratives on user engagement behavior in national parks. This paper collects 545 official short videos of national parks and classifies the video data using a combination of video processing technology and manual coding. It aims to explore the narrative elements of national parks and analyze their impact on user engagement behaviors by combining narrative transportation theory and elaboration likelihood model (ELM). The results of the study show that the narrative topic of the video has a significant effect on users’ liking and commenting behavior. The number of hashtags has a positive impact on user engagement behaviors, and narrative duration positively affects user liking and commenting behaviors. Compared to without background music, background music can increase users’ commenting behavior. This study expands the scope of theoretical research on promotion and marketing in national parks, as well as user engagement behavior and provides new perspectives on narrative transportation theory and the ELM. It also provides practical guidance for promoting and popularizing national parks. © The Author(s) 2025"
1188,pubmed+scopus,10.1016/j.scitotenv.2025.179101,2025,Science of the Total Environment,"Urban stressors: Interactive effects of noise, light regime and fluoxetine on zebrafish behavior","Chemical, noise and light pollution are pervasive anthropogenic stressors. These stressors have been investigated individually; however, to our knowledge no one has investigated interactions between the three or their impacts on fish. The current study investigated the effects of chronic exposure to a common environmental pollutant, fluoxetine (3 and 300 ng/L), light pollution (artificial light at night), and acute environmental noise (motorboat engine) on the behavioral responses of zebrafish (Danio rerio). The effects of these treatments on zebrafish boldness, anxiety, time to feed, habitat preference in the presence of a visual predation cue (bird), and shoaling behavior in the presence of a conspecific alarm chemical and a visual predation cue were measured. Fluoxetine alone decreased zebrafish boldness, although effects were dose-, sex-, and noise-order-dependent. Zebrafish exposed to artificial light at night showed higher activity levels and were bolder than fish that were raised in an environment with a normal 12 h light-12 h dark photoperiod. Noise exposure often resulted in increased activity. However, we also observed interactions between the three factors. In several experiments, fluoxetine suppressed the effects artificial light at night, suggesting an antagonistic interaction. Fluoxetine also reduced behavioral responses to sudden noise in several experiments. The visual predation cue caused significant reductions in activity, but all three factors affected responses to predation, leading to behaviors that may increase zebrafish vulnerability. The order in which fish were exposed to noise pollution was also important. Fish that were tested with noise first often reacted more strongly than those that were initially tested without noise, suggesting that noise increased the stress of adaption to a new environment. Environmental stressors often co-exist in the real world and the limited number of studies in this area underscores the need for more comprehen"
1189,pubmed+scopus+wos,10.1186/s13750-025-00368-3,2025,ENVIRONMENTAL EVIDENCE,What is the evidence for the impacts of airborne anthropogenic noise on wildlife? A systematic map update,"Background: Noise from human activities is a major concern for wildlife, with numerous studies demonstrating significant impacts. In 2020, Sordello and collaborators systematically mapped the literature on the impacts of anthropogenic noise on wildlife up to 2018. Since then, research on this topic has continued to grow steadily. To reflect these developments, we present an updated systematic map encompassing studies published through 2023, exclusively focused on airborne noise. Methods: The method follows the a priori protocol published by Sordello and collaborators in 2019. The present work includes literature searches by Sordello et al. (2020) and a complementary search update performed on 2020–2023. Literature from Sordello et al. (2020) was re-screened to align with the updated scope, now restricted to airborne noise. For the update, both peer-reviewed and grey literature were retrieved from Scopus, the Web of Science Core Collection, and Google Scholar. Titles, abstracts, and full texts were screened by eligibility criteria, and included articles were coded. We included all wild terrestrial or semi-aquatic taxonomic groups, and anthropogenic noise from various sources (e.g., transport, urban, recreational) was considered, along with all relevant outcomes (e.g., behaviour, reproduction, physiology). Review findings: Sordello et al. (2020) provided 1,794 articles, of which 466 were retained after re-screening the full texts. The search update yielded 13,698 citations, resulting in 397 relevant articles. A total of 863 articles were included in the map (665 primary research studies, 196 reviews and meta-analyses, 2 modelling papers). Most studies have been conducted in the USA. Birds are the most studied taxonomic group (64%), followed by mammals (22%); transportation is the most studied source of noise (43%), followed by urban noise (24%); behaviour (27%) and vocal communication (25%) are the most studied outcomes. Conclusion: The map represents an updated state"
1190,scopus+wos,10.1016/j.trf.2025.01.012,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,"Pedestrian route choice behaviour has captivated academic inquiry for over a century. Its study has shaped urban planning and influenced the design of more sustainable urban spaces and the discourse on just cities. While existing research has primarily examined the influence of configurational factors or urban elements on pedestrian movement, their interplay remains poorly understood. This paper addresses this gap by examining how the configurational properties of the street network and the distribution of urban elements shape pedestrian route choice behaviour. Walking tasks and in-depth interviews were conducted in Poznań (Poland) with 18 participants. The 36 routes and their attributes were tracked using GPS devices, while the interviews provided insights into the participants’ decision-making processes and preferences. The analysis resulted in the definition of a taxonomy of pedestrian types based on their route choice behaviour. These types encompass various preferences and strategies, including prioritising comfort, rational decisions, spontaneity, reliance on landmarks, and environmental cues. Moreover, the analysis revealed variations in route's geometry, length, and predictability across the five types. Overall, our findings emphasise the multifaceted nature of pedestrian behaviour as influenced by a combination of “objective” environmental factors, subjective perceptions, and emergent dynamic factors. Elements like weather, crowds, traffic, noise, seasonality, and time of day emerged as additional but significant determinants of decisions. Finally, while green areas and landmarks did impact route choice behaviour, other more nuanced elements - such as paving patterns, storefronts, or prior experiences and memories - also played a role in shaping the participants’ routes, adding further uncertainty around pedestrian behavioural patterns. © 2025 The Author(s)"
1191,scopus,10.32738/jeppm-2025-228,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,"To explore tourist’s perception of soundscapes, this study selects the core scenic area of Zhangjiajie National Forest Park and takes a microphone array system to collect environmental sound data throughout the four seasons during both day and nighttime hours, while simultaneously collecting tourist’s subjective perception, evaluation, and behavioral data. By extracting and preprocessing acoustic features and combining rectangular and dilated convolution kernels, an environmental sound classification model is proposed. Subsequently, a soundscape perception model is constructed. The proposed environmental sound classification model achieved an average accuracy of 93.5% in natural sound source classification, demonstrating the best robustness across different signal-to-noise ratio levels. The parameter size was only 6.8M, and the average inference speed was 12.3ms. The sound landscape perception model demonstrated better predictive performance in dimensions such as pleasure and tranquility than the baseline model. The natural sound source area had high pleasure, naturalness, and tranquility, and low interference. The highest interference level in the traffic impact area was 4.39, with engine noise accounting for 58% of the total noise, and significant spatial and temporal differences between different regions. This model can effectively predict tourist’s perception and preferences of soundscapes, with significant differences in perception in different acoustic environments. The research provides a scientific acoustic basis for optimizing soundscapes, scenic area planning, and noise management, which helps to enhance tourist experience and promote the sustainable development of ecotourism. © Journal of Engineering, Project, and Production Management (EPPM-Journal)."
1192,scopus+wos,10.1016/j.apacoust.2025.111114,2026,APPLIED ACOUSTICS,A methodological framework for urban noise exposure assessment exploiting citizen itineraries and environmental noise maps,"Environmental noise is a persistent and growing public health concern, particularly in densely populated urban areas. Conventional assessment tools, such as noise monitoring stations and strategic noise maps, typically estimate exposure based on acoustic energy distribution and noise levels evaluated on residential building facades. These approaches fail to account for the spatiotemporal dynamics associated with individual mobility throughout the city. This study introduces and validates a novel methodology for estimating personal noise exposure along urban outdoor routes. By integrating individual trajectories with high-resolution noise maps and temporal noise patterns, the approach captures exposure variability across different times of day. We applied the methodology to real-world routes in Madrid, Spain, encompassing diverse pedestrian activities, such as running, walking, and sightseeing. We used publicly available environmental noise data for this application. Validation with short pedestrian routes of approximately five minutes demonstrated close agreement with direct measurements. Eighty-three percent of the runs showed deviations below 4 dB, most of which were within ± 2.5 dB. This supports the robustness of the method as a practical estimator of personal noise exposure in urban environments. In our Madrid case study, level differences between alternative routes typically ranged from 2 to 3 dBA, occasionally reaching up to 5 dBA. This highlights the influence of route choice on individual exposure. Due to its scalability, this methodology could be incorporated into digital navigation platforms, such as Google Maps, to provide users with information on noise exposure along different routes. This would enable more informed and noise-conscious mobility decisions. © 2025 The Author(s)"
1193,pubmed+scopus+wos,10.1016/j.bbr.2026.116381,2026,BEHAVIOURAL BRAIN RESEARCH,A multisensory integrative forebrain area (NCC) in female zebra finches discriminates between normal and abnormal conspecific song,"For many species, vocal communication is an essential part of mate selection and courtship. In songbirds, such as zebra finches (Taeniopygia guttata), a male's song can reveal much about his physiology and potentially even his developmental history, influencing female mate choice. It is thought that female zebra finches possess an auditory ‘template’ – potentially represented in the caudomedial nidopallium (NCM), caudomedial mesopallium (CMM), and/or caudocentral nidopallium (NCC) – that provides a standard for high- and low-quality song and guides behavioral preference. To investigate how finely tuned this template is to subtle differences in song, we employed an operant conditioning paradigm, using normal conspecific songs and Parkinsonian-like songs, which were derived from males overexpressing the human alpha-synuclein gene in Area X of the song circuit. Additionally, females were exposed to playbacks of these songs for immunohistochemical analysis of Zenk and c-Fos – protein products of the immediate early genes (IEGs) zenk and c-fos, respectively – in the NCM, CMM, and NCC. While the behavioral preference for either song type was inconsistent between females, females exposed to normal song exhibited significantly higher expression of both IEGs as compared to females exposed to Parkinsonian-like song in the NCC, but not in the NCM or CMM. These results suggest that the NCC may serve as a neural detector of subtle differences in song quality, while the NCM and CMM may influence preference behavior more directly. © 2026 Elsevier B.V."
1194,wos,10.1093/ornithapp/duag020,2026,ORNITHOLOGICAL APPLICATIONS,"Acoustic differences persist in urban Parus major (Great Tit) over two decades of declining anthropogenic noise in Paris, France","Anthropogenic noise pollution induces changes in the behavior of wild animals. Birds exhibit a well-characterized response to noise pollution: by vocalizing at higher frequencies, birds can escape the masking effects of low-frequency anthropogenic sounds. Although Paris ranks among the world's largest and most densely populated cities, in recent years Parisians have piloted a multi-faceted effort to reduce anthropogenic noise. Are the city's noise reduction efforts sufficient to affect the frequency characteristics of city-dwelling birds? We used directional microphones to collect field recordings of Parus major (Great Tit) in noisy urban sites within Paris and quiet forest sites outside of Paris in Fontainebleau. We recorded birds at both sites during two time periods, separated by two decades, in 2003 and 2023. We collected field measurements of ambient noise using a calibrated sound level meter and we evaluated long-term noise monitoring data collected by the French government. We predicted that birds would sing higher frequency songs in noisy urban Paris compared to quiet natural areas, and we predicted that the magnitude of these differences would diminish in 2023 compared to 2003 given the city's recent noise reduction efforts. We show that urban birds sing at higher frequencies when noise levels increase, matching previous findings from across Europe. Long term data reveal a decline in anthropogenic noise in Paris over the past decades, with average noise levels in 2023 reaching half of their previous intensity. Despite noise reduction efforts, urban birds continue to sing with higher frequencies compared to non-urban birds, and those frequencies have not declined over two decades. We conclude that the noise reduction efforts in Paris have decreased anthropogenic noise levels, but that birds maintain songs with higher minimum frequencies in spite of this change. Noise pollution changes the songs of birds: to be heard over the sounds of traffic, birds often si"
1195,scopus+wos,10.1016/j.ecolind.2026.114848,2026,ECOLOGICAL INDICATORS,Acoustic indexes as predictors of bird richness: Insights from atlantic forest fragments,"Bird communities present in remaining fragments of the Atlantic Forest suffer several impacts. Fragments bordering roads suffer from anthropophonies caused by vehicle traffic, affecting their acoustic communication, behaviour and even changing community structure. In this study, we tested the effect of different types of Atlantic Forest fragments on soundscapes and bird community. The sampled points had different degrees of urbanization, categorized in three Zones (Urban close to roads; Rural close to roads; Protected Areas far from roads). 810 min of audio recordings were analysed at 9 different points, using 6 Acoustic Indexes (AIs) to compare the soundscapes. Bird richness was quantified from the identification of calls using pattern matching mechanisms together with manual validations for each minute. The 6 AIs indicated significant differences between the soundscapes of different Zones. A total of 77 species were identified (Urban n = 25; Rural n = 50; UC n = 41). Despite having the lowest number of species, the Urban Zone had the highest richness per minute sampled. We found correlations between AI and bird richness, but it was controversial when compared to previous research, indicating that correlation could be stochastic. AI can help us monitor changes in the environment at low costs, but it is difficult to predict richness or diversity directly using them. We suggest using Autonomous Recording Units and AI to constantly monitor vulnerable forest fragments. Changes in AI patterns can help determine when and where we should invest and use more direct methods for evaluating richness and diversity. Copyright © 2026. Published by Elsevier Ltd."
1196,scopus+wos,10.1007/s00034-026-03667-3,2026,CIRCUITS SYSTEMS AND SIGNAL PROCESSING,Active Noise Blunting: A BIBO-Stable Event-Driven Nonlinear Alternative to Cancellation Under α-Stable Impulsive Noise,"Acoustic environments affected by impulsive disturbances are often governed by heavy-tailed alpha\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\alpha $$\end{document}-stable behaviour, under which conventional active noise control (ANC) algorithms based on squared-error adaptation may exhibit unstable convergence and undesirable transient responses. Although a variety of robust ANC techniques have been proposed to improve impulsive-noise tolerance, most still rely on continuous cancellation-oriented adaptation in the presence of large outliers. This paper introduces Active Noise Blunting (ANB), an event-driven framework that moderates impulsive acoustic disturbances through bounded waveform reshaping rather than strict residual cancellation. During detected impulsive intervals, the proposed method applies nonlinear soft clipping together with finite impulse response (FIR) smoothing to generate a perceptually moderated target waveform. Anti-noise is then constructed using a deterministic difference-to-target mechanism, yielding a controlled residual response instead of aggressive cancellation-driven transients. An operator-level analysis is used to establish bounded residual behaviour of the proposed framework under alpha-stable excitation without relying on recursive coefficient adaptation, step-size tuning, or second-order statistical assumptions. Simulation results obtained under different impulsive-noise conditions show consistent moderation of impulsive peaks, attenuation of high-frequency transient content in the 2-3.5 kHz region, improvement in output SNR, and noticeable reduction in crest factor relative to conventional FxLMS-type ANC methods. The results suggest that perceptual waveform reshaping may provide a practical alternative for impulsive-noise mitigation in acoustic env"
1197,scopus+wos,10.1016/j.oceaneng.2026.124291,2026,OCEAN ENGINEERING,Airborne sound power levels and third octave band spectra of passenger ships across operational phases in the Port of Split,"Mapping airborne environmental noise in passenger ports is increasingly important due to their proximity to residential areas and associated health risks. Predictive models have been limited by the scarcity of reliable airborne sound power data for ships under real operating conditions. This study addresses that gap through a short-term campaign at the Port of Split (Croatia). A-weighted sound power levels and third-octave spectra were derived for ferries, cruise ships, and catamarans during key operational phases: hotelling (at berth), loading/unloading, arrival, and departure. Measurements were conducted by qualified personnel with Class-1 instrumentation under favorable meteorological conditions and processed following established procedures. Results show marked differences among ship types and phases. Small catamarans are generally quiet except for auxiliary ventilation near departure; large catamarans exhibit higher levels at departure due to engine activation. Ferries separate into two behaviors: large units emit continuously during hotelling from ventilation and auxiliary machinery, whereas small ferries can be silent at berth or operate low-mounted engines intermittently. Cruise ships produced significant airborne noise mainly during hotelling, with elevated source heights that may enhance propagation toward urban receivers. The resulting dataset, based on repeated operations in a regular port schedule, offers directly model-ready inputs for noise mapping. © 2026 The Authors. Published by Elsevier Ltd. This is an open access article under the CC BY license. http://creativecommons.org/licenses/by/4.0/"
