uid,source,no,final_verdict,year,journal,title,country,setting,design,sample_n,exposure,behaviour_domain,behaviour_measure,measurement_method,direction,key_finding,effect_stats
1122,db-search,1122,FINAL_INCLUDE,2025,JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,Effects of natural sound tempo and social conditions on social Interaction: An interactive,UK (저자 소속 UCL 기준; 참가자 국적 NR),VR-lab,lab-VR-experiment,NR (12개 시나리오 배정; 템포 허용범위 예비조사 10명),Unity3D 가상 도시공원에서 새소리와 분수 물소리를 각각 느림(30% 압축)·보통·빠름(30% 연장) 템포로 조작하고 NPC 저밀도·고밀도 조건 교차(총 12 시나리오),social; movement,가상공간 자유이동 중 NPC와의 상호작용 행태 기록과 설문 기반 사회적 상호작용 의향(willingness for social interaction),self-report,forward,물소리 템포가 빠를수록 중·상 수준 사회적 조건을 가진 참가자의 사회적 상호작용 의향이 유의하게 증가한 반면 새소리 템포 변화는 유의한 효과가 없었다,사회적 조건 상위군이 상호작용 의향 over 11 % greater; 그 외 통계량은 발췌에 없음
1138,db-search,1138,FINAL_INCLUDE,2025,ACOUSTICS,Horn Use Patterns and Acoustic Characteristics in Congested Urban Traffic: A Case Study of,Vietnam (field observation in Ho Chi Minh City); anechoic-chamber measurements in Japan,"street (Hoang Van Thu Street, congested urban arterial) with controlled anechoic-chamber acoustic measurement",mixed (weekday rush-hour roadside HD video and sound level meter observation + structured interviews + controlled anechoic-chamber horn experiment),"30 interviewees (10 experienced motorcycle taxi drivers, 20 university students commuting daily by motorcycle); weekday morning and evening rush-hour traffic recordings","Motorcycle horn-use behaviour classified as attention signals P1-P3 (single, double, triple presses of 0.5-0.7 s with 0.3-0.5 s intervals) and warning signals P4-P6 (single press > 1 s; short presses ending in a prolonged press), reproduced on a 125 cc electromechanical diaphragm horn and an electric horn",activity; social,"Horn-use pattern typology coded from rush-hour video and SLM recording plus interviews (number of presses, press duration, inter-press interval), and the resulting A-weighted LAeq,T over a fixed 1.5 s window, 1/3-octave spectra and directivity per pattern",observation (HD video plus calibrated sound level meter RION NL-28) + self-report (structured interviews),reverse,"In congested Ho Chi Minh City traffic riders habitually use multi-press and prolonged horn patterns rather than the single press assumed by regulation, so the signalling behaviour itself raises emitted level by 13-17 dB(A) and shifts low- and high-frequency content, pushing street noise beyond WHO daytime guidance; the authors frame horn noise as a behavioural as well as a technical problem","P1 single press 87 dB(A); attention patterns about 103 dB and warning patterns above 104 dB; P2 - P1 approx. 14 dB(A); P4 - P1 13 dB(A); P5 - P4 3 dB(A); P6 - P1 17 dB(A); band-level differences up to 20 dB in ranges A1-A2; electric horn P1 94.8 dB, i.e. 17 dB above the diaphragm horn; field horns up to 112 dB; fundamental 387 Hz with energy peak near 3 kHz; horn emission broadly omnidirectional; no inferential statistics reported (NR)"
1149,db-search,1149,FINAL_INCLUDE,2025,ARTS & HEALTH,Landscapes of silence: designing quiet art spaces for inner peace in urban chaos,NR (저자 소속 Malaysia·China; 조사도시 미명시),park (도심 quiet art installation 3개소),mixed,NR,"사운드 완화 설계가 적용된 Silent Art Landscapes — 방음 지형(berm·earth mound), 음 확산 반사면, 앰비언트 사운드아트 설치; 개입구역 대 대조구역 음압레벨 비교와 사운드스케이프 히트맵",space-use; activity,"현장 행태관찰 기록과 설치물별 참가자 아트 상호작용 빈도(art interaction frequencies), PRS 회복환경 점수 병행",observation,forward,사운드 완화가 적용된 개입구역은 대조구역보다 음압레벨이 낮고 PRS 회복성 점수가 유의하게 높았으며 설치물별 참가자 아트 상호작용 빈도가 함께 기록되었다(행태 효과 방향·크기 수치는 미제시),NR
1172,db-search,1172,SENS_ONLY,2025,SCIENTIFIC REPORTS,Study on the correlation between soundscape perception and pro-environmental behaviors in Grand Canal National Cultural Park based on the expert perspective,China,"VR-lab (laboratory audio-visual reproduction of 12 scenic spots in four parks of the Tongzhou Grand Canal Cultural and Tourism Scenic Area, Grand Canal National Cultural Park: Scenic Area of Three Temples and One Pagoda 1.2 ha, Xihaizi Park 14 ha, Canal Park 19 ha riverfront, Grand Canal Forest Park 713 ha; lab 5 x 2.5 x 4.2 m)",lab-VR-experiment (audio-visual interaction experiment with expert questionnaire; SEM with mediation analysis),"172 expert participants (180 questionnaires distributed, 172 valid = 95.56%; 88 male, 84 female; 64.5% aged 25-30; 80.2% architecture)","Photos of four park groupings presented in random order with 16 field-recorded sound sources (Sony PCM-D50, 2-min segments, each normalized to 55 dB(A) via Nor140 calibration and AKG K702 headphones; ambient < 30 dB): natural (birds chirping, insect buzzing, wind, rustling plants), artificial (conversation, entertainment, footsteps, children playing), mechanical (road traffic noise, broadcast noise, mechanical equipment noise) and canal cultural soundscapes (boatmen's songs, traditional folk music, drama, dance, craftsmanship); exposure variable = expert sound source preference ratings (5-point Likert) forming four soundscape perception latent variables",social; activity,"Self-reported pro-environmental behaviours on 5-point Likert scales after the listening session: environmentally responsible behaviours ER1-ER4 (comply with environmental laws, advise others against damaging the Grand Canal environment, donate to related environmental activities, handle personal travel waste) and heritage conservation behaviours HP1-HP4 (participate in heritage activities, comply with heritage management measures, take care of buildings and facilities, learn about canal heritage); most items phrased as intentions ('I will ...'); place attachment PA1-PA5 as mediator",self-report (expert questionnaire completed in the laboratory after audio-visual exposure),forward,"Perception of natural (beta = 0.235) and canal cultural soundscapes (0.252) positively predicted environmentally responsible behaviours, and natural (0.263), artificial (0.181) and canal cultural soundscapes (0.208) positively predicted heritage conservation behaviours, whereas mechanical soundscapes had no significant direct effect on either. Place attachment mediated the soundscape-behaviour paths (Table 9: full mediation for mechanical soundscape on both outcomes and for artificial soundscape on environmentally responsible behaviours, partial otherwise).","Table 8 standardized paths: NS->ER 0.235 (S.E 0.077, CR 3.063, p 0.002); AS->ER 0.120 (0.065, 1.833, 0.067); MS->ER -0.067 (0.053, -1.258, 0.208); CCS->ER 0.252 (0.066, 3.835, ***); NS->HP 0.263 (0.064, 4.144, ***); AS->HP 0.181 (0.052, 3.455, ***); MS->HP -0.068 (0.040, -1.690, 0.091); CCS->HP 0.208 (0.052, 4.019, ***). Table 9 total/direct/indirect effects: NS->PA->ER 0.351/0.173/0.178 (BC 95% CI 0.080-0.245); AS->PA->ER 0.277/0.092/0.185 (0.088-0.289); MS->PA->ER -0.130/-0.031/-0.099 (-0.230 to -0.033); CCS->PA->ER 0.282/0.187/0.096 (0.017-0.173); NS->PA->HP 0.263**/0.167**/0.096 (0.062-0.176); AS->PA->HP 0.255**/0.155**/0.100 (0.069-0.218); MS->PA->HP -0.096**/-0.043/-0.054 (-0.160 to -0.028); CCS->PA->HP 0.208**/0.156**/0.052 (0.013-0.127). Table 7 fit: chi2/df 1.833, GFI 0.904, RMSEA 0.070, CFI 0.904, NFI 0.812"
1174,db-search,1174,FINAL_INCLUDE,2025,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,Synergistic role of audio-visual perceptions in promoting bikeshare for active travel,China,street,sensor-bigdata,NR (선전시 대규모 공유자전거 통행 데이터; 건수 발췌 미기재),SVI 기반 예측 사운드스케이프 지표(sound intensity·perceived pleasant sound·sound quality·자연음 지각)와 지각 스트리트스케이프(안전·미관·활기); 예측 음강도는 현장 실측치와 상관 검증,movement; activity,공유자전거 이용량(셀 단위 bikeshare 통행량·OD 패턴),sensor-GPS-video,forward,거시 건조환경이 여전히 지배적이지만 미시 사운드스케이프가 시각 지각보다 자전거 이용량 설명력이 컸고 지각 안전과 자연음 지각이 동시에 높은 시청각 일관성 구간에서 이용 증가가 더 뚜렷했다,NR (사운드스케이프 변수를 추가한 Model 4의 설명력 증가와 SHAP 국소의존곡선으로 제시; 수치는 발췌에 없음)
1177,db-search,1177,FINAL_INCLUDE,2025,ACOUSTICS,"The Impact of Soundscape on Pedestrian Comfort, Perception and Walking Experience in Béjaï",Algeria,street,"mixed (LAeq acoustic measurement plus soundwalks, sound diaries and mental maps, ISO 12913 protocol)",50 sound-diary participants; 58 soundwalk participants,"In-situ urban soundscape of five morphologically distinct zones in the old city and lower city (LAeq measured); natural, social/human and mechanical (traffic) sound components; morning versus afternoon variation",movement; space-use,Reported avoidance of mechanically noisy streets; walking pleasantness and sound comfort ratings along predefined itineraries; weekly sound-perception heat maps by zone; mental maps of routes and sound,self-report (soundwalk questionnaire; sound diary; mental map) plus sensor (integrating sound level meter; LAeq),forward,"Natural and social sounds increased perceived comfort and safety whereas mechanical noise was associated with discomfort and avoidance behaviour in those streets, and sound comfort was moderately positively correlated with walking pleasantness","Morning: sound comfort vs visual perception rho = 0.58, p = 0.001, 95% CI [0.27; 0.80]; sound comfort vs walking pleasantness rho = 0.40, p = 0.033, 95% CI [0.05; 0.67]"
1178,db-search,1178,FINAL_INCLUDE,2025,APPLIED ACOUSTICS,The effects of the interaction between sewage odour and sounds on crowd behaviours in urba,China,waterfront,field-experiment,NR,"hidden-loudspeaker playback of light music (100.99 bpm) or highly annoying fan sound versus no sound, crossed with presence/absence of sewage odour on a 40 m x 4 m park walkway",movement; staying,"crowd path position (approach to or recession from the source, ordinate y at path intersections), average crowd speed, duration time in the area",observation (grid-based behaviour observation),forward,"Music attracted crowds toward the source, significantly reduced walking speed and increased duration, whereas fan sound and sewage odour drove crowds away, raised speed and shortened duration; odour strengthened the approach/recede trends but the positive effect of music exceeded the negative effect of odour.",NR
1190,db-search,1190,FINAL_INCLUDE,2025,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,What's your type? A taxonomy of pedestrian route choice behaviour in cities,Poland,"street (Poznań city-centre street network; walking task from Theatre Bridge to the Old Brewery shopping mall and back, Euclidean distance 1,420 m)","mixed (walking task with smartphone GPS tracking + semi-structured in-depth interviews within 48 h; data-driven open coding, topic analysis and Weberian ideal-type typology; authors describe it as a qualitative study)","18 participants aged 20-42 (7 male, 11 female; mean age 23.5) (analytic unit: 36 GPS-tracked routes)","Perceived noise reported spontaneously in interviews as a 'dynamic element' of the walk: vehicular and tram traffic noise along major streets and noisy crowded areas (mapped in Fig. 4); no acoustic measurement; noise is one of several dynamic elements alongside crowds, weather, sun/shade and time of day",movement,"Pedestrian route choice on an origin-destination walking task (A to B and back): GPS-recorded routes with distance, duration and speed (Table 1, Figs 3 and 5-9), and interview-reported route decisions and avoidance of noisy/crowded streets used to derive five route-choice types (Table 2)",self-report (in-depth interviews prompted with the participant's GPS track); sensor-GPS-video (smartphone GPS route tracking),forward,"Noise emerged as one of the dynamic elements shaping pedestrian route choice: traffic and tram noise was reported to make walking along major streets tiring, the maintainer type (N=4) was characterised as highly sensitive to and avoiding noisy and crowded areas, and the spontaneous type (N=2) as sensitive to noise. The evidence is qualitative and rests on few noise-related quotes; no magnitude or GPS-based comparison of noise exposure is reported.","NR (qualitative; Table 2 dynamic elements: maintainer type N=4 'High sensitivity to weather conditions, time of day, noise, crowded and busy areas'; spontaneous type N=2 'Medium sensitivity to crowded and busy areas; sensitivity to noise'; section 4.1 pedestrian-vehicle interaction topic referenced by 6 participants, e.g. 'I get tired as I walk along major streets because of the traffic and noise' (IDI9, M))"
1191,db-search,1191,FINAL_INCLUDE,2026,"Journal of Engineering, Project, and Production Management",A Perceived Acoustic Landscape Model for Zhangjiajie National Forest Park,China,"recreation (Zhangjiajie National Forest Park core scenic area, Hunan - Jinbian Creek, Yuanjiajie, Huangshizhai; three acoustic zones: natural sound source area [primeval forest, stream gorge], tourist-intensive area [core viewing area, rest square, viewing platform], traffic impact area [main scenic roads, parking lot and scenic-spot entrance/exit])",mixed (four-season day/night microphone-array recordings + on-site Likert questionnaire + camera and positioning-device records of stay time and photo frequency; CNN sound-source classification and attention-based soundscape perception model),"NR (numbers of tourist respondents, recordings and tracked visitors not reported; model data split 60% training / 20% validation / 20% test)","Acoustic environment zone (natural sound source / tourist-intensive / traffic impact area) recorded with an 8-omnidirectional-microphone array (2 m square, 44.1 kHz, >=30 min per sample) in spring, summer, autumn and winter, daytime (06:00-18:00) and night (18:00-06:00); SPL, Leq, A-weighted level, spectral centroid, MFCC/Mel-spectrogram features and CNN-classified source contributions (natural area: flowing water 42%, bird songs 35%; tourist-intensive area: human voices nearly 60% incl. conversations 45% and camera shutter 13%; traffic area: engine noise 58%)",staying; activity,"Tourist stay (dwell) time and photo-taking frequency at sampling points, derived from tourist behaviour trajectories (operational definitions, units and summary values not reported)",sensor-GPS-video (cameras installed at key locations in the scenic area and positioning devices carried by tourists),forward,"Behaviour is addressed only narratively in the Discussion: the authors state that high pleasure/tranquility scores correlated with longer dwell times and higher photo-taking frequency in natural sound areas, and that high interference in traffic zones is linked to a potential reduction in visit duration; no behavioural data or statistics appear in the Results. Perceived soundscape differed by zone, with the natural sound source area highest in pleasure, tranquility and naturalness and the traffic impact area highest in interference (4.39).","NR (behaviour-sound relation reported only as narrative in Section 4 [page 10-11]; Table 3 gives zone perception scores only, natural / tourist-intensive / traffic zone: Pleasure 4.52±0.31 / 3.45±0.38 / 2.98±0.47; Tranquility 4.48±0.29 / 3.21±0.41 / 2.75±0.44; Naturalness 4.61±0.25 / 3.22±0.39 / 2.81±0.46; Infection [interference] 1.89±0.42 / 3.67±0.51 / 4.39±0.38)"
1202,db-search,1202,FINAL_INCLUDE,2026,Journal of Urban Management,Assessing the impact of landscape context on soundscape quality in multifunctional urban o,China (Hong Kong),residential,mixed,"NR (4-6인 그룹 soundwalk; 4개 공공주택단지 4개 루트 x 오전·오후·저녁 3세션, 참가자 수는 Table 2로 발췌 미포함)","공공주택단지 옥외 미시 기능공간(sitting-out area·놀이터·동선공간)의 음환경 — 정류점별 1분 바이노럴 녹음(B&K Type 4101 + 2270), 음원 지배도·라우드니스와 GoPro Max 360 파노라마 시각지표",activity; space-use,기능공간 유형별로 진행 중이던 활동·이벤트(예: 놀이터의 아이들 노는 소리)를 예측변수로 반영; 행태 자체의 정량 아웃컴은 없음,observation,reverse,"미시 기능공간 유형과 그곳에서 진행되는 활동이 사운드스케이프 평가를 크게 바꾸어 놀이터의 아이들 노는 소리는 활기와 사운드스케이프 품질을, sitting-out area의 나뭇잎 소리는 전반 품질을 높였다",NR (Table 5에 유의한 비표준화·표준화 회귀계수가 제시되나 발췌에 수치 없음)
1211,db-search,1211,FINAL_INCLUDE,2026,EUROPEAN PHYSICAL JOURNAL-SPECIAL TOPICS,Chromatic recurrences applied to joint walking time series of a blind mother-child dyad,Argentina,street,field-observation,1 dyad (시각장애 어머니-자녀 2인) 단일사례,"도시 보행 중 서로 다른 음향 맥락(교통·도시 소음 환경, 대화(speech) 활동 유무)",movement; social,"영상 코딩한 모자 동반보행 시계열 — 보행속도, 동조·비동조 걸음 구간, chromatic recurrence 지표(REC·MaxLV·TTV·ENTV)",observation,forward,모자는 자발적 걸음 동조를 보였고 동조 구간은 더 짧고 예측가능한 반면 비동조 구간은 더 길고 덜 예측가능했으며 보행속도는 발화(speech) 활동에 따라 달라졌다,NR (REC·MaxLV·TTV·ENTV는 95% CI 오차막대로만 제시)
1218,db-search,1218,FINAL_INCLUDE,2026,LAND,Dynamic Perspectives: Spatiotemporal Characteristics and Time-Segmented Environmental Drivers of Public Recreational Behavior in Urban Parks,China,"park (Fuzhou Hot Spring Park, Gulou District — 16.7 hm2 comprehensive urban park; 24 grids with 27 monitoring points classified as path-, areal- and node-type spaces)","field-observation (SOPARC-coded 360-degree panoramic camera observation with concurrent audio recording, microclimate and illuminance measurement; 4 summer days, 3–4 and 8–9 September 2022)",NR individuals (daily average 2036 visitors recorded; analytic unit: 27 monitoring points observed hourly 06:00–21:00 on 4 days),"Temporal soundscape recorded concurrently with behaviour observations at each monitoring point (Sony PCM-D100); spectrogram analysis identified dominant sound sources classified as natural sounds (NS; mainly birdsong, 54.3% of recorded sources), traffic sounds (TS; mainly car horns), management sounds (MS; e.g., sweeping) and recreational sounds (RS; e.g., hand clapping, foot stomping). Sound pressure levels and the quantification of source variables not reported. Examined alongside microclimate (temperature, relative humidity), illuminance and stable landscape variables.",space-use; activity; social; staying,"SOPARC-coded counts per monitoring point per hourly scan (06:00–21:00) of visitors by gender and age group (children, young, middle-aged, older adults) and by activity type: static behaviour — relaxation activities (RA: sitting, reading, meditation), nature engagement (NEA), social interaction (SIA: tea drinking, chatting, playing cards); dynamic behaviour — sports (SA), leisure (LA), facility-based field activities (FA); plus kernel density and Shannon–Wiener diversity of behavioural coexistence and intergenerational co-presence",observation; sensor-GPS-video (360-degree panoramic camera recordings coded with the SOPARC protocol by two trained observers),forward,"After FDR adjustment, morning recreational sounds were positively correlated with middle-aged visitor counts and social interaction activities, morning management sounds positively with children's counts, and night-time traffic sounds negatively with middle-aged visitor counts (Figure 12). In time-segmented regressions, morning SIA was explained mainly by recreational sounds (standardized beta = 0.627) and their interaction with green view index, morning leisure activities were negatively associated with management sounds, and recreational sounds strengthened the effect of resting facilities on morning middle-aged visitation; temperature rather than soundscape was the key temporal driver overall.","Table 3, morning SIA (R2 = 0.559, adj R2 = 0.532): RS B = 0.627, SE = 0.098, Beta = 0.627, T = 6.421, Sig. = 0; Z1*RS B = 0.366, SE = 0.096, Beta = 0.377, T = 3.825, Sig. = 0. Table 3, morning LA (R2 = 0.456, adj R2 = 0.421): MS B = −0.487, SE = 0.2, Beta = −0.487, T = −2.437, Sig. = 0.019; S3*MS B = −2.006, SE = 0.384, Beta = −1.023, T = −5.226, Sig. = 0; S2*MS B = 0.539, SE = 0.229, Beta = 0.266, T = 2.353, Sig. = 0.023. Table 4, morning middle-aged adults (R2 = 0.299, adj R2 = 0.255): S3*RS B = 0.319, SE = 0.139, Beta = 0.287, T = 2.293, Sig. = 0.026. Spearman correlations (Figure 12, FDR-adjusted p < 0.05) not given numerically in text; observations per model NR."
1221,db-search,1221,FINAL_INCLUDE,2026,APPLIED ACOUSTICS,Effect of soundscapes and crowd density on economic behavior in commercial streets,China,street,mixed,315,"상업가로 5개 구역(S1-S5)의 음환경 — BSWA308 실측 LAeq·L10·L50·L90·Sudden sound pressure와 지각 사운드스케이프(eventfulness·calmness·chaoticness), 음원 유형별 라우드니스·발생빈도·선호",staying; space-use,경제행태 5지표 중 대기시간(Queuing time)과 360도 파노라마 영상 픽셀그리드로 산출한 군중밀도(CPD4·CPD8·CPD12·CFD); 나머지 3지표는 소비의향·추천·재방문 의향,self-report,forward,객관 음향지표(LAeq·L10·L50·L90)와 지각 사운드스케이프 차원이 대기시간을 포함한 경제행태 지표와 유의하게 연관되었고 파사드 군중밀도(CFD)와 Sudden sound pressure가 가장 견고한 예측변수였다,"NR (Spearman rank correlation·CATREG 결과가 Fig. 6-9·Table 2-4에 있으나 발췌에 계수 없음; 요인분석 Factor 1 33.96%, Factor 3 8.62%)"
1232,db-search,1232,FINAL_INCLUDE,2026,SUSTAINABILITY,Exploring the Soundscape Perception of Streets: A Thematic Analysis of Focus Groups with E,"UK (UCL-run online focus groups; participants based in Turkiye, Germany, UK, Italy, Ireland and Switzerland)",street (urban streets as recalled and discussed by expert participants; data collected online),"survey (two online expert focus groups via Microsoft Teams; deductive thematic analysis with inductive refinement, NVivo 15, two-coder consensus)","12 experts (Turkish cohort n = 6, international cohort n = 6); separate pilot focus group n = 12 excluded from analysis","Street soundscape as experienced and discussed by experts: traffic and mechanical noise, ambulance and police sirens, natural sounds and water features, silence, religious and cultural soundmarks (adhan, church bells), station jingles, together with street geometry, greenery, lighting and temporal variation",movement; social; space-use; staying,"Thematically coded behaviour reported in transcripts: route choice and detours, walking speed, orientation of pedestrian flows toward or away from sound sources, pausing to talk, gathering or leaving an area, accessibility-related movement, and coping/adaptive strategies such as bone-conduction headphones (Theme 4 referenced by 10 of 12 participants)",self-report (focus group transcripts transcribed and coded line-by-line in NVivo 15 by two researchers),forward,"Experts reported that street soundscapes steer pedestrian behaviour: soundmarks such as the adhan orient pedestrian flows and structure daily rhythms, aversive sounds prompt detours or withdrawal from an area, sound and lighting shape whether people pause to talk or gather, and adaptive strategies such as bone-conduction headphones are adopted; silence was a dilemma, read as safe or unsafe depending on pedestrian density","NR (qualitative; n = 12; 4 main themes, 16 subthemes, 34 codes, 102 coded instances; behaviour and perception themes each referenced by 10 of 12 participants; 7 of 10 Healthy Streets metrics directly referenced)"
1242,db-search,1242,FINAL_INCLUDE,2026,LANDSCAPE ARCHITECTURE FRONTIERS,How Individual and Sound Characteristics Interactively Determine Perceived Soundscape Rest,China,waterfront,survey (field questionnaire),201 valid of 230 distributed,"dominant perceived sounds (sea waves, wind, traffic and other mechanical/anthropogenic sounds) and measured ambient LAeq (BSWA801; responses above 73 dBA excluded)",staying; activity; space-use,"self-reported visit duration, visit frequency, visit purpose and activity intensity",self-report,reverse,"Behavioural patterns (visit duration, frequency and activity intensity) were significantly associated with all four perceived soundscape restorativeness components, and individual/behavioural factors outweighed sound characteristics in determining Fascination, Being-away and Compatibility.",NR
1258,db-search,1258,FINAL_INCLUDE,2026,URBAN SCIENCE,Multisensory Interactions in Greenway Plazas of Differing Openness and Effects on User Beh,China,square,mixed,NR,"개방도(밀폐·반밀폐·개방)가 다른 그린웨이 광장 6곳의 음환경 — LAeq_5min·L10 실측(밀폐형 광장 최고), 자연음·인공음·교통소음 혼재, 설문 기반 청각평가(AE)",staying; social; activity,행태관찰로 기록한 single-person·one-to-one·multi-person 활동(특히 상호작용 활동)의 빈도와 지속시간,observation (+ self-report 설문·in-situ 음향/열환경 실측),forward,"밀폐형 광장에서는 AE 개선이 TE 개선보다 상호작용 활동 빈도를 더 크게 높인 반면, 반밀폐 광장에서는 AE가 상호작용 활동에 머무는 시간에 부정적 영향을 미쳤다",NR (Spearman correlation·linear regression 수행되었으나 발췌에 수치 없음)
1272,db-search,1272,FINAL_INCLUDE,2026,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVI,Perception and response of cyclists interacting with autonomous electric vehicles - a virt,Netherlands,VR-lab,lab-VR-experiment,40,"VR 자전거 시뮬레이터 18개 시나리오 — 환경소음 2수준(조용한 주거지 vs 소음 많은 가로), 차량-신호 조건 3수준(ACV+시각 eHMI / AEV+시각 eHMI / AEV+시각 eHMI+추가 청각경고), eHMI 작동거리 3수준(15·20·25 m)",movement,반응 시점의 차량-자전거 거리(response position)·반응 완료 위치·최대 감속도(max deceleration)·노변 경고음원 방향 head orientation의 방향과 지속시간,sensor-GPS-video,forward,"시각 eHMI만 있는 차량 대비 추가 청각경고를 갖춘 AEV에서 자전거 이용자가 차량을 더 일찍 탐지하고 더 빨리 반응했으며 감속이 더 완만해졌고, 환경소음 수준의 주효과도 유의했다",NR (Table 5에 environmental noise level·vehicle-signal condition·trigger distance의 고정효과와 상호작용 보고되나 발췌에 수치 없음)
1280,db-search,1280,FINAL_INCLUDE,2026,BUILDINGS,Research on the Effect of Rural Composite Environments on the Spatiotemporal Behavior and ,China,square,mixed,"241 (설문) / 9,000 관찰 사진 / 10 공간","농촌 마을 공공공간 10곳(나무 아래·광장·서비스센터 앞·도로·주택 주변)의 복합 감각환경 — AWA5636으로 5분 LAeq 측정, 음원 7유형 분류 기반 Natural Sound Index(NSI = 자연음 비율 − 소음 비율), 열·시각(GVI·SVI)·후각(OI) 환경 병행 측정",staying; space-use; social,"6:00–20:00·14일간 10분 간격 고정지점 촬영 9,000장으로 코딩한 행태 유형(사회활동 등)과 공간별 시공간 분포, MLP 예측 대상인 체류시간(dwell time)",observation (+ self-report 설문 N=241·현장 환경 실측),forward,"노인의 지배적 행태는 광장 등 조성공간에서 나타난 사회활동(81.12%)이었고, 체류시간 예측 MLP에서 음량 지각(중요도 100%)과 Natural Sound Index(92.1%)가 시각 미관(89.3%)보다 앞선 핵심 예측변수였다","MLP prediction accuracy 85.3% (dwell time) / 93.1% (satisfaction); variable importance: volume perception 100%, NSI 92.1%, visual aesthetics 89.3%; visual aesthetics on behaviour type p = 0.013"
1305,db-search,1305,FINAL_INCLUDE,2026,GERMAN JOURNAL OF EXERCISE AND SPORT RESEARCH,Transforming urban landscapes: characteristics of urban green spaces for year-round green exercise in Germany,Germany,"park (urban green spaces used for green exercise across Germany; not site-specific, respondents rate UGS in general)","survey (online questionnaire via SoSci Survey, snowball sampling through social media and sports federations, Jan-Mar 2024)",408 participants (772 completed questionnaires; remainder excluded for missing data),"Self-rated importance of natural sounds in urban green spaces for year-round green exercise (single 5-point Likert item within a 12-item natural-elements battery, alpha = 0.88); no acoustic measurement or site-specific sound exposure",activity,"Self-reported green exercise activity in UGS under different meteorological conditions (precipitation, cold, strong wind, heat, sun radiation; item wording and scale not reported); type of sport practiced (sport clusters such as endurance, strength-based, team and gymnastic sports); GE frequency (typical 2-3 times/week, Table 2)",self-report (online questionnaire),both,"Natural sounds were the most highly rated natural element for year-round green exercise (76.3% rather important). Their importance correlated weakly and positively with green exercise under precipitation (rho = 0.151) and cold (rho = 0.170) but not under strong wind, heat or sun radiation, and natural-element ratings did not differ significantly between sport clusters.","Table 4 Spearman correlation, natural sounds vs activity during meteorological conditions: precipitation 0.151**, cold 0.170**, strong wind 0.076, heat 0.051, sun radiation 0.034 (* p< 0.05; ** p< 0.01); natural elements effect sizes eta2 0.010-0.050 (p.5); sport clusters: 'Only minor but no significant differences' (p.5)"
1306,db-search,1306,FINAL_INCLUDE,2026,JOURNAL OF TRANSPORT & HEALTH,Unveiling the nonlinear effects of street-level audiovisual environments on urban cycling ,China,street,sensor-bigdata,"NR (KEEP 앱 2023년 7월 크라우드소싱 자전거 GPS 궤적; SVI 표본점 24,529개)","Baidu 스트리트뷰 이미지에 사전학습 딥러닝을 적용해 추정한 가로 단위 사운드스케이프 — 자연음 성분·기계음(교통) 성분·소음 강도, 시각 개방도·지각된 안전·미관 등 시청각 지표와 POI·가로망 built environment 지표 동시 투입",movement; space-use,가로 구간(street segment)별 자전거 통행량(cycling volume) — KEEP 피트니스 앱 GPS 궤적 집계,sensor-GPS-video,forward,"시각 개방도가 크고 자연음 존재가 강하며 소음 강도가 낮고 지각 안전이 높은 가로일수록 자전거 통행량이 뚜렷하게 많았으며, 음향 변수는 변수별 임계값·포화가 있는 비선형 관계를 보였다",NR (XGBoost 변수 상대중요도·partial dependence plot로만 제시되고 발췌에 수치·효과크기 없음)
